168	1403	υτσιςα FYR	59	18	4	53	56	\N	\N	\N	\N	\N	0
169	1406	σματτεςοκ FYR	59	55	5	4	16	\N	\N	\N	\N	\N	0
170	1408	HAUGESUND/KARMOY	59	21	5	13	24	\N	\N	\N	\N	\N	0
171	1412	οβςεσταδ	58	39	5	34	26	\N	\N	\N	\N	\N	0
172	1415	σταχαξηες/σομα	58	53	5	38	9	\N	\N	\N	\N	\N	0
173	1415	σταχαξηες/σομα	58	52	5	40	14	\N	\N	\N	\N	\N	0
174	1417	ξεδςε χατσ	59	29	5	45	65	\N	\N	\N	\N	\N	0
177	1423	ζιστες-τοξξεχιλ	59	10	6	3	-9999	\N	\N	\N	\N	\N	0
178	1424	SAUDA	59	39	6	22	6	\N	\N	\N	\N	\N	0
179	1425	UALAND-BJULAND	58	33	6	21	201	\N	\N	\N	\N	\N	0
181	1427	μιστςα FYR	58	7	6	34	14	\N	\N	\N	\N	\N	0
182	1428	μιστςα FLYPLASS	58	6	6	38	10	\N	\N	\N	\N	\N	0
183	1432	SIRDAL-TJORHOM	58	53	6	51	-9999	\N	\N	\N	\N	\N	0
184	1433	MIDTLAEGER	59	50	6	59	1081	\N	\N	\N	\N	\N	0
186	1434	χααησμι	54	46	7	22	822	\N	\N	\N	\N	\N	0
188	1436	μιξδεσξεσ FYR	57	59	7	3	-9999	\N	\N	\N	\N	\N	0
189	1439	KONSMO-HOYLAND	58	15	7	19	-9999	\N	\N	\N	\N	\N	0
190	1441	HOVDEN-LUNDANE	59	35	7	23	836	\N	\N	\N	\N	\N	0
191	1442	BYGLANDSFJORD-SOLBAKKEN	58	40	7	48	211	\N	\N	\N	\N	\N	0
192	1446	OYFJELL-TROVATN	59	34	8	12	714	\N	\N	\N	\N	\N	0
193	1448	OKSOY FYR	58	4	8	3	8	\N	\N	\N	\N	\N	0
194	1450	MOSSTRAND II	59	50	8	11	-9999	\N	\N	\N	\N	\N	0
195	1452	λςιστιαξσσαξξ/KJEVIK	58	12	8	5	17	\N	\N	\N	\N	\N	0
196	1455	τχεκσυξξ	59	2	8	31	255	\N	\N	\N	\N	\N	0
197	1459	NELAUG	58	39	8	38	-9999	\N	\N	\N	\N	\N	0
198	1465	τοςυξηεξ FYR	58	24	8	48	15	\N	\N	\N	\N	\N	0
199	1467	LYNGOR FYR	58	38	9	9	5	\N	\N	\N	\N	\N	0
200	1470	ηχαςχ	59	23	9	12	93	\N	\N	\N	\N	\N	0
201	1474	LYNGDAL I NUMEDAL	59	54	9	32	294	\N	\N	\N	\N	\N	0
202	1475	SKIEN-GEITERYGGEN	59	11	9	34	141	\N	\N	\N	\N	\N	0
203	1476	JOMFRULAND FYR	58	51	9	33	5	\N	\N	\N	\N	\N	0
204	1477	λοξησβεςη IV	59	40	9	39	169	\N	\N	\N	\N	\N	0
205	1482	ζεςδες FYR	59	2	10	32	8	\N	\N	\N	\N	\N	0
206	1483	τοςπ	59	12	10	16	88	\N	\N	\N	\N	\N	0
207	1488	οσμο/FORNEBU	59	54	10	38	17	\N	\N	\N	\N	\N	0
208	1492	οσμο-βμιξδεςξ	59	57	10	43	96	\N	\N	\N	\N	\N	0
209	1494	RYGGE	59	23	10	47	53	\N	\N	\N	\N	\N	0
211	1495	στςονταξηεξ FYR	59	9	10	50	10	\N	\N	\N	\N	\N	0
212	1496	θομαξδ-ζοσσες	59	49	11	29	154	\N	\N	\N	\N	\N	0
214	1497	PRESTEBAKKE	59	0	11	32	-9999	\N	\N	\N	\N	\N	0
215	1498	ναηξος	59	58	12	13	153	\N	\N	\N	\N	\N	0
242	2012	ςιτσεν	67	44	17	28	523	\N	\N	\N	\N	\N	0
244	2020	KATTERJAKK	68	25	18	10	517	\N	\N	\N	\N	\N	0
245	2022	αβισλο	68	21	18	49	394	\N	\N	\N	\N	\N	0
253	2036	ξιλλαμυολτα	67	51	19	2	468	\N	\N	\N	\N	\N	0
255	2043	εσςαξηε	67	56	21	4	341	\N	\N	\N	\N	\N	0
257	2045	λιςυξα GEOFYSISKA	67	50	20	26	-9999	\N	\N	\N	\N	\N	0
